food_id,food_name,food_category,ref_amount,energy_kcal,protein_g,fat_g,carb_g,sugar_g,sodium_mg,chol_mg,sat_fat_g,trans_fat_g,food_weight
,가래떡,"곡류, 서류 제품",100,195,3.9,0.5,43.7,0,240.57,0,0.2,0,100
,깨송편,"곡류, 서류 제품",100,219,4.7,3.2,42.8,2,259.75,0,0.6,0,100
,꿀떡,"곡류, 서류 제품",100,228,3.7,1.7,49.5,0.3,275.08,3.96,0.3,0,100
,모듬찰떡,"곡류, 서류 제품",100,218,6.8,2.4,42.3,3,187.83,0,0.3,0,100
,백설기,"곡류, 서류 제품",100,230,3.7,1.5,50.4,0.1,210.9,0,0.1,0,100
,쑥절편,"곡류, 서류 제품",100,192,7.7,2.4,34.9,0.2,192.27,0,0.2,0,100
,약식,"곡류, 서류 제품",100,220,4.2,2.5,45.2,13.2,221.18,0,0.3,0,100
,인절미,"곡류, 서류 제품",100,242,5.6,2.2,50.1,6.3,296.82,0,0.2,0,100
,증편,"곡류, 서류 제품",100,200,3.2,1.2,44.2,3.2,283.95,0,0.2,0,100
,찐감자,"곡류, 서류 제품",100,70,2.2,0.2,15,0.9,3.37,0,0,0,200
,찐고구마,"곡류, 서류 제품",100,139,1.7,0.2,32.5,16.3,9.73,0,0,0,200
,찐옥수수,"곡류, 서류 제품",100,185,6.7,2.4,34.2,2.4,89.62,0,0.3,0,200
,참깨경단,"곡류, 서류 제품",100,240,6.3,6.7,38.6,0.6,202.87,0,1,0,100
,팥시루떡,"곡류, 서류 제품",100,224,3.8,1.8,48.1,0,195.21,0,0.1,0,100
,팥찹쌀떡,"곡류, 서류 제품",100,295,5.1,2.5,62.9,25.9,140.24,0,0.1,0,100
,가자미구이,구이류,100,123,18.7,5,0.7,0,315.19,84.33,0.8,0.1,200
,간장양념닭다리구이,구이류,100,247,23,15.6,3.5,4.4,542.92,105.67,3.4,0.1,300
,갈치구이,구이류,100,138,21.5,5.5,0.6,0,297.24,87.96,1.3,0,200
,고등어구이,구이류,100,276,23.8,20,0.2,0.2,605,56.33,5.1,0.1,200
,고등어석쇠구이,구이류,100,340,23.4,25.7,3.8,0,126.26,53.09,7,0.3,200
,굴비구이,구이류,100,194,18.7,13.3,0.1,0.2,918.13,132.07,3.4,0.1,150
,꽁치구이,구이류,100,302,24.7,21.7,2.1,0,258.35,45.26,4.3,2.9,200
,닭고기대파꼬치구이,구이류,100,245,17.8,14.7,10.3,1.7,416.58,76.62,4.2,0.1,170
,닭구이,구이류,100,257,26.2,13.4,7.8,0,750.91,119.18,3.7,0.1,340
,닭발구이,구이류,100,196,18.1,9.4,9.7,0.3,827.32,81.85,2.6,0.1,220
,돼지갈비구이,구이류,100,294,28.2,18.5,3.5,4.8,737.22,71.74,6.8,0.1,300
,돼지고기산적,구이류,100,200,29.1,8.6,1.6,0.1,585.76,56.15,2.4,0,170
,돼지불고기,구이류,100,225,14.9,16.6,4.1,4.6,312.57,42.83,4.5,0.1,200
,등심스테이크,구이류,100,194,30.2,8.1,0.1,0,134.04,84.18,3.9,0.3,200
,런천미트구이,구이류,100,303,17.6,24.4,3.3,1.7,953.75,35.7,9,0.2,160
,뱅어포구이,구이류,100,374,34.4,15.2,25.1,15.9,1479.12,469.76,3,0.1,70
,버섯구이,구이류,100,52,5.2,1.4,4.8,0.1,491.55,0,0.4,0,80
,삼겹살고추장구이,구이류,100,403,14.2,32.8,12.6,5.7,510.34,35.52,13.1,0.3,200
,삼겹살구이,구이류,100,467,22.6,41.7,0.3,0,576.39,39.72,12.4,0.3,200
,삼치구이,구이류,100,178,21.4,9.6,1.4,0.2,217.16,79.38,2,0.1,200
,새송이버섯구이,구이류,100,84,4.3,2.2,11.7,4.5,463.47,0,0.3,0,80
,새우구이,구이류,100,145,23.4,4.4,2.8,0,329.75,233.98,0.7,0,180
,소갈비구이,구이류,100,241,25.9,14.6,1.6,0.3,401.55,77.75,5.6,0.6,300
,소곱창구이,구이류,100,184,14.9,11.7,4.7,1.1,1314.58,196.11,4.1,0.3,150
,소불고기,구이류,100,170,16.4,9.7,4.3,3.2,417.9,50.02,3.3,0.2,200
,안심스테이크,구이류,100,183,34.8,4.8,0.1,0,102.71,80.25,0.2,0,200
,오리고기구이,구이류,100,293,24.1,19.7,4.9,0,708.33,132.32,4.8,0.1,200
,오리불고기,구이류,100,145,6.7,9,9,6.3,467.42,31.13,2,0.1,250
,장어고추장구이,구이류,100,259,19.8,17.2,6.2,0.4,321.94,131.89,4.7,0.3,100
,조기구이,구이류,100,256,19.3,10.9,20.2,0,1364.48,91.79,3.1,0.1,180
,조미김,구이류,100,470,20.5,30.3,29,0.1,4010.95,3.94,3,0.2,5
,쥐포구이,구이류,100,341,31,0.4,53.5,33.1,2105.27,136.43,0.5,0,70
,참치머리구이,구이류,100,193,36.6,9,1.4,0,458.82,116.49,2.8,0.1,180
,치킨데리야끼,구이류,100,208,16.5,9,15.2,0.1,266.51,53.29,2.6,0.1,340
,키조개구이,구이류,100,130,17.4,2.1,10.4,3.6,454.35,25.29,0.1,0,180
,표고버섯구이,구이류,100,100,4.3,1.1,18.1,1.4,435.05,0,0.6,0,80
,함박스테이크,구이류,100,174,12.1,10.7,7.2,0.1,197.64,46.73,3.3,0.1,200
,햄구이,구이류,100,339,15.3,30.2,1.5,1.9,886.32,31.54,5.4,0.2,170
,갈비탕,국 및 탕류,100,54,8.5,2.1,0.4,0.1,198.6,31.46,0.8,0.1,670
,감자된장국,국 및 탕류,100,25,1.1,0.6,3.7,0.8,357.48,0,0,0,400
,감잣국,국 및 탕류,100,21,0.9,0.3,3.7,0.9,214.95,0,0,0,400
,곰탕,국 및 탕류,100,24,3.4,1.1,0.1,0,124.01,9.04,0.4,0,600
,굴무국,국 및 탕류,100,25,2.4,0.4,2.9,0.1,250.67,8.78,0.1,0,500
,근대된장국,국 및 탕류,100,10,0.9,0.4,0.7,0.8,326.03,0.48,0.1,0,400
,김치콩나물국,국 및 탕류,100,12,0.8,0.5,1.2,0.5,229.85,0.6,0.1,0,400
,김칫국,국 및 탕류,100,23,1.3,0.8,2.6,0,208.12,4.78,0.2,0,400
,꼬리곰탕,국 및 탕류,100,27,4.5,0.6,0.8,0,19.38,13.07,0.7,0,500
,냉이된장국,국 및 탕류,100,22,1.7,0.7,2.2,0.3,235.84,0,0.1,0,400
,달걀국,국 및 탕류,100,13,0.9,0.7,0.7,0,246.13,31.11,0.3,0,400
,닭개장,국 및 탕류,100,20,2.7,0.4,1.4,0.6,166.88,9.55,0.2,0,700
,닭곰탕,국 및 탕류,100,51,7.5,1.4,2,0.3,170.01,36.02,0.3,0,650
,대합미역국,국 및 탕류,100,11,1.2,0.4,0.6,0,231.91,3.59,0.2,0,400
,도가니탕,국 및 탕류,100,40,8.4,0.3,0.8,0,150.4,18.34,0.1,0,500
,동태국,국 및 탕류,100,17,2.4,0.2,1.4,0,223.93,11.45,0,0,400
,메밀묵국,국 및 탕류,100,22,1,0.4,3.6,0.3,238.43,0,0,0,400
,무시래기된장국,국 및 탕류,100,15,1.3,0.2,2,0,194.82,0.91,0,0,400
,미역국,국 및 탕류,100,12,0.6,0.6,0.9,0.3,167.67,0,0,0,400
,미역냉국,국 및 탕류,100,37,0.2,0.7,7.5,4.5,148.18,0,0,0,350
,미역된장국,국 및 탕류,100,24,1.6,1,2.3,0.6,304.85,0,0.1,0,400
,미역오이냉국,국 및 탕류,100,6,0.4,0.1,0.9,0.7,326.97,0,0,0,350
,배추된장국,국 및 탕류,100,20,1.5,0.4,2.6,0,222.7,3.07,0.1,0,400
,북엇국,국 및 탕류,100,28,3.9,1,0.8,0.1,232.5,21.61,0.2,0,400
,뼈해장국,국 및 탕류,100,26,3.2,1,1.1,0.6,345.58,9.45,0.2,0,800
,사골국,국 및 탕류,100,55,5.6,2.4,2.8,0,74.69,19.12,0.9,0.1,400
,삼계탕,국 및 탕류,100,101,10.7,4.8,3.8,0.4,81.85,48.19,1.3,0,900
,새우미역국,국 및 탕류,100,16,1.1,0.5,1.8,0,5.12,11.31,0,0,400
,새우탕,국 및 탕류,100,33,5.2,0.4,2,0.1,368.2,32.73,0.1,0,500
,선짓국,국 및 탕류,100,29,3.9,1,1.2,0,312.41,29.05,0.1,0,600
,설렁탕,국 및 탕류,100,24,4.3,0.6,0.4,0,21.96,6.97,0.2,0,500
,쇠고기무국,국 및 탕류,100,15,1.3,0.6,1.1,0,165.5,3.89,0.1,0,400
,쇠고기미역국,국 및 탕류,100,13,1.9,0.3,0.8,0.5,195.51,4.24,0,0,400
,쇠고기배추국,국 및 탕류,100,16,1.8,0.4,1.1,0,247.67,5.57,0.1,0,400
,순댓국,국 및 탕류,100,85,2.4,1.7,15,0.3,330.26,9.67,0.5,0,600
,순두부달걀탕,국 및 탕류,100,29,1.8,2,0.9,0,484.24,34.05,0.4,0,350
,시금치된장국,국 및 탕류,100,9,1,0.2,1,0.1,123.83,0.64,0,0,400
,쑥된장국,국 및 탕류,100,15,1.2,0.5,1.5,0.7,242.68,0.21,0.1,0,400
,아욱된장국,국 및 탕류,100,20,2.3,0.6,1.6,0.1,236.09,10.21,0.1,0,400
,애호박된장국,국 및 탕류,100,31,3.3,1.3,1.4,0.5,154.58,0,0.2,0,400
,어묵국,국 및 탕류,100,31,1.5,1,3.8,0.1,225.96,2.45,0.1,0,350
,얼갈이배춧국,국 및 탕류,100,9,0.5,0.4,0.9,0.1,194.63,0,0,0,400
,오이냉국,국 및 탕류,100,11,0.4,0.7,0.8,0.9,282.76,0.82,0.1,0,350
,오징어국,국 및 탕류,100,18,2.2,0.7,0.7,0.2,257.34,31.88,0.1,0,500
,우거지곰탕,국 및 탕류,100,25,2.4,0.6,2.6,0.3,224.58,1.71,0.1,0,350
,우거지된장국,국 및 탕류,100,20,2.8,0.6,0.8,0.6,290.77,7.1,0.1,0,400
,육개장,국 및 탕류,100,30,3.7,1,1.5,0.8,200.96,10.86,0.2,0,440
,일본된장국,국 및 탕류,100,10,0.7,0.7,0.2,0.3,243.77,0,0,0,200
,재첩국,국 및 탕류,100,23,0.7,0.3,4.5,0,126.41,4.27,0,0,350
,조갯국,국 및 탕류,100,16,1.7,0.9,0.2,0.2,297.13,4.01,0.1,0,400
,콩나물국,국 및 탕류,100,6,0.7,0.1,0.6,0.2,218.6,0.73,0,0,400
,콩나물된장국,국 및 탕류,100,31,2.6,1.1,2.6,0.5,365.3,0,0.1,0,400
,토란국,국 및 탕류,100,16,1,0.1,2.6,0.3,189.97,1.12,0,0,400
,해물된장국,국 및 탕류,100,28,2.1,1,2.7,0.4,510.34,11.37,0.1,0,400
,호박잎된장국,국 및 탕류,100,7,0.4,0.3,0.5,0.1,162.79,0,0,0,350
,홍합무국,국 및 탕류,100,25,0.8,2,0.9,0.2,233.25,2.3,0,0,350
,갓김치,김치류,100,41,2.6,1.3,4.7,1.2,438.05,0.06,0.1,0,40
,고들빼기김치,김치류,100,71,3,1.4,11.5,4.4,605.41,3.89,0.1,0,50
,깍두기,김치류,100,33,1.6,1.1,4.2,2.5,807.5,3.06,0,0,50
,깻잎김치,김치류,100,62,2.8,1.7,8.9,4,924.07,0,0.1,0,50
,나박김치,김치류,100,10,0.5,0.4,1.1,0.3,377.45,0,0,0,100
,돌나물물김치,김치류,100,5,0.3,0.1,0.8,0.4,237.36,0,0,0,400
,동치미,김치류,100,14,0.3,0.4,2.3,1.5,411.87,0,0,0,200
,배추김치,김치류,100,27,1.7,0.8,3.2,2.4,307.57,1,0.1,0,40
,백김치,김치류,100,18,1,0.6,2.3,0.8,447.39,0,0,0,90
,보쌈김치,김치류,100,30,2.2,0.7,3.7,1.7,661.16,5.97,0,0,90
,부추김치,김치류,100,47,2.7,1.2,6.4,4.1,761.32,0,0.1,0,50
,얼갈이배추김치,김치류,100,63,1.6,1.4,10.9,0.4,246.09,0,0,0,80
,열무김치,김치류,100,27,1.8,1.2,2.2,0.4,194.47,0,0,0,40
,오이김치,김치류,100,38,2.1,0.8,5.6,2.4,465.77,0,0.1,0,70
,오이소박이,김치류,100,32,1.7,0.9,4.4,3.4,541.03,0,0.1,0,100
,총각김치,김치류,100,33,1.4,0.7,5.1,1.9,474.28,0.16,0,0,70
,파김치,김치류,100,44,2.6,1.9,4.2,1.5,863.86,0.16,0.1,0,30
,가죽나물무침,나물·숙채류,100,76,5.8,1.3,10.1,3.8,275.63,0,0.2,0,80
,가지나물,나물·숙채류,100,36,1.4,1.5,4.2,2.3,274.15,4.18,0.2,0,50
,건 취나물,나물·숙채류,100,89,3.6,5.4,6.4,0,132.92,4.91,0.6,0,50
,고구마줄기나물,나물·숙채류,100,83,1,7,4.1,0,179.25,0,1.2,0.2,50
,고사리나물,나물·숙채류,100,90,3.8,5.5,6.3,0.5,441.41,6.17,0.7,0,50
,고춧잎나물,나물·숙채류,100,88,4.4,4.7,7.1,1.5,796.71,0,0.7,0.1,90
,깻잎나물,나물·숙채류,100,78,2.7,5.2,5,2,361.57,0,0.6,0.1,50
,냉이나물,나물·숙채류,100,110,5,3.1,15.7,10.4,717.93,0,0.5,0,60
,도라지나물,나물·숙채류,100,130,2.5,7.5,13.1,0.9,411.02,7.15,1,0,50
,머위대나물,나물·숙채류,100,58,4,2.6,4.8,0.3,363.28,25.22,0.3,0,50
,무나물,나물·숙채류,100,21,0.6,0.5,3.6,3.3,352.17,0,0,0,50
,방풍나물,나물·숙채류,100,76,4.4,1.7,10.7,2.9,267.41,0,0.2,0,80
,배추나물,나물·숙채류,100,61,2,2.2,8.5,6.2,275.83,0,0.3,0,80
,비름나물,나물·숙채류,100,73,3.5,4,5.7,0.9,334.66,0,0.6,0.1,80
,숙주나물,나물·숙채류,100,35,2.2,1.6,3,1.6,403.04,0,0.1,0,50
,시금치나물,나물·숙채류,100,69,3.7,4.5,3.4,0.1,136.25,0,0.4,0.1,50
,시래기나물,나물·숙채류,100,114,4.3,7.3,7.7,0.5,514.17,9.79,0.9,0,50
,씀바귀나물,나물·숙채류,100,97,3.9,1.7,16.6,1.3,204.07,0,0.4,0.1,90
,애호박볶음,나물·숙채류,100,59,1.3,3.6,5.3,0.4,446.77,0,0.4,0,50
,열무나물,나물·숙채류,100,82,3.9,5.3,4.8,0.6,459.88,0,0.7,0.2,90
,열무된장나물,나물·숙채류,100,68,3.7,4.1,4.1,0.7,378.83,0,0.5,0.1,90
,오이나물,나물·숙채류,100,83,1.8,8.2,0.5,2.2,630.74,0,0.9,0,80
,유채나물무침,나물·숙채류,100,96,5.8,4.6,7.8,2,1279.34,0,0.6,0,90
,참나물무침,나물·숙채류,100,60,2.5,3.7,4.1,0.7,218.41,0,0.6,0,90
,취나물된장무침,나물·숙채류,100,44,3.1,1.7,4.1,0.8,234.89,0,0.2,0,90
,콩나물고춧가루무침,나물·숙채류,100,93,3.9,5.9,5.9,1.9,203.29,0,0.8,0,90
,콩나물무침,나물·숙채류,100,69,3.9,4.5,3.2,0.5,387.18,0,0.5,0,50
,토란대나물,나물·숙채류,100,68,5.1,3.4,4.2,0.4,222.17,24.41,0.5,0,90
,톳나물무침,나물·숙채류,100,75,1.9,2.1,12.3,6.9,600.32,0,0.3,0,90
,간짜장,면 및 만두류,100,125,5.1,4.9,15.1,0.9,455.24,6.05,0.8,0,500
,고기만두,면 및 만두류,100,159,12.4,4.5,17.4,0.2,205.97,19.91,0.6,0,220
,군만두,면 및 만두류,100,234,7,11.5,25.6,2.8,384.57,9.49,3.3,0.1,220
,김치만두,면 및 만두류,100,152,10.2,4.8,17,0.3,393.3,23.27,0.1,0,220
,달걀라면,면 및 만두류,100,108,2.6,3.2,17.3,0.2,183.12,28.5,1.3,0,550
,떡국,면 및 만두류,100,84,3.4,0.5,16.4,0.1,176.29,16.7,0.2,0,700
,떡라면,면 및 만두류,100,96,2,2.9,15.3,0,269.72,0,1,0,550
,떡만두국,면 및 만두류,100,111,3.5,3.9,15.5,0,206.15,11.32,0.6,0,600
,라면,면 및 만두류,100,82,1.7,2.3,13.7,0,283.49,0,0.8,0,550
,막국수,면 및 만두류,100,133,5.8,1.6,23.9,4.9,404.52,5.53,0.5,0,600
,만두,면 및 만두류,100,181,8.7,8.2,18.1,0,364.05,11.96,2.7,0.1,220
,메밀국수,면 및 만두류,100,63,3.1,0.3,12.1,0,194.1,0,0.1,0,350
,물냉면,면 및 만두류,100,55,2,0.6,10.3,4.5,161.18,15.35,0.2,0,700
,물만두,면 및 만두류,100,195,8.1,11.1,15.6,2.1,332,12.13,3.1,0,230
,미트볼 토마토 스파게티,면 및 만두류,100,180,7.3,8.9,17.6,0.9,217.83,12.58,1.4,0,500
,바지락칼국수,면 및 만두류,100,82,3.4,0.5,16,0.2,271.7,0.33,0.1,0,700
,볶음우동,면 및 만두류,100,128,2.8,2,24.8,0.4,256.97,0,0.5,0,300
,비빔국수,면 및 만두류,100,102,3,1,20.5,4.1,238.76,1.01,0.2,0,500
,비빔냉면,면 및 만두류,100,100,5.7,2.6,13.3,4,177.46,47.34,0.5,0,500
,사골만두국,면 및 만두류,100,87,3.7,4,8.9,0.1,333.32,26.25,1.7,0.1,700
,수제비,면 및 만두류,100,58,2.3,0.5,11.1,0,142.33,12.85,0.2,0,650
,우동,면 및 만두류,100,85,1.8,3.2,12.2,0,156.61,0,0.3,0,800
,월남쌈,면 및 만두류,100,118,5.9,5,12.3,5.5,229.79,31.58,2.1,0,250
,잔치국수,면 및 만두류,100,44,1.9,0.5,8,0,216.37,0.6,0.2,0,700
,쟁반국수,면 및 만두류,100,119,6.7,4.6,12.8,8.1,513.16,18.97,0.9,0,450
,짜장면,면 및 만두류,100,88,2.7,2.2,14.4,6.1,307.28,2.05,0.4,0,600
,짬뽕,면 및 만두류,100,58,2.8,1.5,8.3,1.6,180.76,10.52,0.2,0,800
,쫄면,면 및 만두류,100,129,3.2,2.5,23.3,3.5,250.36,0,0.2,0,550
,칼국수,면 및 만두류,100,77,3.3,0.5,14.9,0,220.29,17.14,0.2,0,700
